Value Tiers,Rank,Name,id,Pos.,Pos Rk,,Target Round
Tier 1,1,Ja'Marr Chase,b24eb93f-72bd-4c23-bed6-807d542bab65,WR,1,,1
Tier 2,2,Jahmyr Gibbs,0ec23474-d4b8-4dcd-9157-b6de1fb8ff84,RB,1,,1
Tier 2,3,Bijan Robinson,b42031b0-6abb-4621-90c0-e3f8041f6c9d,RB,2,,1
Tier 2,4,CeeDee Lamb,1b76bd49-ac28-457e-96a6-4b2135c9ff73,WR,2,,1
Tier 2,5,Saquon Barkley,1dad2b6f-6089-4844-8319-6f1eb23b5003,RB,3,,1
Tier 2,6,Justin Jefferson,fb2b25a4-b791-4ef0-bc45-41099b503a69,WR,3,,1
Tier 2,7,Christian McCaffrey,baefa551-0611-4836-b43a-1d6c105211b7,RB,4,,1
Tier 3,8,De'Von Achane,9a97b0b2-fda2-4d87-8392-50b32ea6fcd3,RB,5,,1
Tier 3,9,Puka Nacua,827b3a04-55f4-4c0e-940f-62be3233dd15,WR,4,,1
Tier 3,10,Nico Collins,13c991e1-747d-4cbd-9bdb-a5e017bdb77b,WR,5,,1
Tier 3,11,Amon-Ra St. Brown,3ee87ad4-537e-46ac-8cf4-d2bf5f8540ed,WR,7,,1
Tier 3,12,Malik Nabers,c2ff3b1f-dbc0-4314-986a-3a2c1dc5bf50,WR,6,,1
Tier 3,13,Brian Thomas Jr.,6d89c0c5-4756-43ab-b80f-70fc83e5efa8,WR,8,,2
Tier 3,14,Ashton Jeanty,8f217c44-cc37-44a8-84f9-d82cd3fe91ff,RB,6,,2
Tier 4,15,A.J. Brown,2eb19695-162b-4d6f-970d-266b3513ddbd,WR,9,,2
Tier 4,16,Drake London,0fd6a099-0696-4aeb-b7c8-bf3c5280db0f,WR,10,,2
Tier 4,17,Derrick Henry,9b791eb1-eb3f-4216-87c5-a381fd694aff,RB,7,,2
Tier 4,18,Brock Bowers,d98df6de-a814-477a-bd9b-b6a747f32ab4,TE,1,,2
Tier 4,19,Bucky Irving,1bc16f8e-964e-4946-b3da-bd7b7fe8731e,RB,8,,2
Tier 4,20,Chase Brown,221733f8-7235-4b9e-a2cd-45dad292e33b,RB,9,,2
Tier 4,21,Jonathan Taylor,a93a8358-f3eb-4a07-9a85-a13a0b2427a2,RB,10,,2
Tier 4,22,Ladd McConkey,f41070b3-c28d-4cff-afb4-6bae844edabf,WR,11,,2
Tier 4,23,Josh Jacobs,9ecd270d-e314-466e-8cff-126385d8a9e9,RB,11,,2
Tier 4,24,Trey McBride,d6c8b5b5-c01a-43d4-84b5-cbad5e4a7f21,TE,2,,3
Tier 4,25,Tee Higgins,43973f1b-ff52-44cd-a5d1-43426587f368,WR,12,,3
Tier 4,26,Lamar Jackson,c3c29d05-6c66-4726-b2b3-01f5323a8087,QB,1,,3
Tier 4,27,Josh Allen,0467ab97-0708-4a95-88ef-124455ac4ac1,QB,2,,3
Tier 5,28,Tyreek Hill,d8aca1d5-8318-4ada-9cf1-18ef1b60b464,WR,13,,3
Tier 5,29,Omarion Hampton,fd373123-6fc9-4e2c-829c-9879ae96caea,RB,12,,3
Tier 5,30,James Cook,cf7f210d-aa77-4481-a6ce-def8eb13c4a7,RB,13,,3
Tier 5,31,Kenneth Walker III,ffbb0124-5050-4795-b305-591cb44a8490,RB,14,,4
Tier 5,32,Kyren Williams,48699f93-77e6-48ee-93cc-df880846796f,RB,15,,3
Tier 5,33,Jalen Hurts,a547b04a-38e6-435e-9f9d-81a34e7aac6c,QB,3,,3
Tier 5,34,Jayden Daniels,09d74295-61f2-4824-b49b-f1c677be0763,QB,4,,3
Tier 5,35,George Kittle,6d78912a-4699-4228-9e18-621c213202a7,TE,3,,3
Tier 6,36,Davante Adams,3bca74ae-aea9-4b96-9cfa-ba6320a9dca6,WR,14,,4
Tier 6,37,TreVeyon Henderson,e04ddd15-a5ab-41e8-82b2-3dfc90a2c893,RB,16,,4
Tier 6,38,Garrett Wilson,146fb59c-b8ff-414a-86a7-3c2e612a81c0,WR,15,,4
Tier 6,39,Jaxon Smith-Njigba,e92d0ab0-3f60-456a-a57f-b689b8107c7a,WR,16,,4
